city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,sale_00h,stock_00h,sale_01h,stock_01h,sale_02h,stock_02h,sale_03h,stock_03h,sale_04h,stock_04h,sale_05h,stock_05h,sale_06h,stock_06h,sale_07h,stock_07h,sale_08h,stock_08h,sale_09h,stock_09h,sale_10h,stock_10h,sale_11h,stock_11h,sale_12h,stock_12h,sale_13h,stock_13h,sale_14h,stock_14h,sale_15h,stock_15h,sale_16h,stock_16h,sale_17h,stock_17h,sale_18h,stock_18h,sale_19h,stock_19h,sale_20h,stock_20h,sale_21h,stock_21h,sale_22h,stock_22h,sale_23h,stock_23h
0,0,2,29,78,82,4,2024-03-29,1.3,5,0.882,0,1,3.019,15.08,76.56,1.71,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.3,0,0.8,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,2,6,10,33,160,650,2024-06-09,0.2,0,1.0,1,0,5.2589,26.53,76.65,1.46,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
10,4,5,18,80,86,11,2024-05-28,0.6,0,0.989,0,0,0.9745,23.46,60.04,1.64,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.1,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,8,6,20,58,172,223,2024-05-25,1.4,0,0.833,1,1,1.0093,23.26,66.68,1.98,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.6,0,0.1,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.1,0,0.0,0,0.0,0,0.1,0,0.1,0,0.0,0,0.0,0
15,9,5,16,25,103,631,2024-06-16,0.7,5,0.796,1,1,4.5629,27.83,83.68,2.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.2,0,0.0,0,0.2,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
4,11,5,16,25,105,290,2024-04-23,1.8,4,0.767,0,1,0.4103,18.94,74.75,1.88,0.0,1,0.0,1,0.0,1,0.1,1,0.0,1,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.3,0,0.4,0,0.0,0,0.2,0,0.2,0,0.2,0,0.0,1,0.0,1,0.2,1,0.0,1,0.0,1,0.0,1
0,12,6,4,28,81,21,2024-06-01,0.1,0,0.8700000047683716,1,1,1.9177,23.59,70.22,1.32,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0
5,16,0,28,3,7,381,2024-06-10,0.5,0,1.0,1,0,5.8512,26.03,82.9,2.61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.2,0,0.1,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,16,0,28,72,154,835,2024-04-08,1.6,0,0.984,0,0,2.5061,17.58,81.27,2.71,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.1,0,0.2,0,0.2,0,0.3,0,0.2,0,0.1,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0
0,18,6,20,50,2,104,2024-05-11,3.4,0,0.843,1,1,2.1776,21.7,71.72,1.21,0.2,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.3,0,0.1,0,0.3,0,0.3,0,0.1,0,0.0,0,0.3,0,0.1,0,0.2,0,0.2,0,0.5,0,0.2,0,0.1,0,0.2,0,0.0,0,0.1,0,0.0,0,0.0,0
0,18,6,4,28,1,117,2024-06-16,7.6,0,1.0,1,0,8.021,27.19,80.27,1.46,0.1,0,0.0,0,0.1,0,0.0,0,0.0,0,0.2,0,0.3,0,0.3,0,0.6,0,1.3,0,0.8,0,0.5,0,0.4,0,0.1,0,0.3,0,0.9,0,0.3,0,0.4,0,0.2,0,0.3,0,0.3,0,0.2,0,0.0,0,0.0,0
0,18,6,20,50,59,567,2024-03-29,0.8,3,0.822,0,1,3.0342,15.58,76.6,1.46,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.3,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,18,6,10,38,190,715,2024-06-11,1.2,4,1.0,0,0,5.6676,25.73,76.21,1.57,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.1,0,0.0,0,0.2,0,0.1,0,0.1,0,0.0,0,0.0,0,0.0,0,0.1,0,0.2,0,0.1,0,0.0,1,0.0,1,0.0,1,0.1,1,0.0,1,0.0,1
0,19,6,20,68,63,486,2024-05-10,1.5,13,0.675,0,1,1.6221,20.43,65.38,1.67,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.3,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.2,1,0.4,0,0.5,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.1,1
11,20,2,29,78,82,4,2024-04-27,6.5,0,0.883,1,1,2.933,19.84,76.05,1.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.2,0,0.8,0,0.3,0,1.1,0,0.6,0,0.6,0,0.4,0,1.2,0,0.1,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
17,21,6,4,53,156,26,2024-05-30,0.7,1,1.0,0,0,0.7705,24.31,61.46,1.43,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.1,0,0.0,0,0.1,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.2,0,0.0,1,0.0,1,0.0,1
17,21,6,21,64,184,267,2024-06-23,31.3,1,0.0,1,0,10.3136,26.91,85.34,1.57,0.0,1,0.3,1,0.2,0,0.1,0,0.2,0,0.1,0,0.9,0,1.8,0,3.2,0,4.6,0,3.8,0,2.4,0,1.6,0,1.4,0,1.6,0,1.7,0,2.6,0,1.7,0,1.2,0,1.4,0,0.5,0,0.0,1,0.0,1,0.0,1
17,22,6,24,51,153,419,2024-05-06,0.8,9,1.0,0,0,1.4964,21.36,70.75,1.19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.3,0,0.3,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,24,6,21,64,19,691,2024-05-08,0.8,0,1.0,0,0,0.8384,21.8,64.55,1.89,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.2,0,0.2,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0
1,28,5,16,27,100,402,2024-06-13,0.8,0,1.0,0,0,10.2676,28.66,83.91,1.53,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.2,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,29,6,4,28,81,19,2024-04-11,2.1,14,1.0,0,0,2.8145,17.46,78.38,1.83,0.0,1,0.0,1,0.1,1,0.0,1,0.0,1,0.0,1,0.0,0,1.1,0,0.9,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
1,31,6,4,28,216,579,2024-06-22,0.2,0,1.0,1,0,4.8507,29.64,81.65,1.84,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,32,1,7,17,55,286,2024-06-24,0.6,11,0.69,0,1,5.0486,30.1,80.22,1.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.3,0,0.0,0,0.3,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,34,6,20,58,172,17,2024-06-03,0.7,0,0.981,0,0,2.8382,24.15,73.7,2.07,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.3,0,0.0,0,0.2,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,34,6,4,28,149,215,2024-05-31,2.6,4,0.596,0,1,2.2729,23.86,67.33,1.59,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.2,0,0.0,0,0.5,0,0.3,0,0.0,1,0.0,1,0.0,1,0.1,1,0.0,0,0.2,0,0.5,0,0.0,0,0.4,0,0.2,0,0.1,0,0.1,0,0.0,1,0.0,1
0,35,6,4,28,81,19,2024-06-03,1.5,0,1.0,0,0,2.5066,23.61,74.08,2.61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.2,0,0.1,0,0.2,0,0.1,0,0.0,0,0.0,0,0.0,0,0.4,0,0.3,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,35,6,4,53,156,26,2024-04-12,0.9,0,0.909,0,1,4.7289,17.35,80.35,2.29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.1,0,0.3,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0
0,35,6,20,50,24,300,2024-06-03,0.2,12,1.0,0,0,2.5066,23.61,74.08,2.61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
9,39,6,10,33,72,503,2024-06-18,0.9,0,0.699,0,1,1.8026,28.97,82.35,1.39,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,0.0,0
9,40,6,4,28,10,64,2024-05-31,0.1,0,1.0,0,0,13.6862,25.4,85.33,1.52,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,40,6,4,28,174,87,2024-05-26,0.4,5,0.805,1,1,12.2952,25.29,84.73,1.39,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2,42,6,4,28,216,579,2024-06-22,1.0,4,1.0,1,0,5.9953,30.3,76.72,1.64,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.2,0,0.1,0,0.0,0,0.0,0,0.2,0,0.0,0,0.1,0,0.2,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
2,43,6,20,47,140,45,2024-05-25,0.6,0,1.0,1,0,13.8128,27.02,82.4,1.39,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0
2,45,6,4,28,216,579,2024-05-16,0.9,0,1.0,0,0,12.3593,25.57,78.13,1.1,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,0.1,0
0,46,5,16,27,98,248,2024-06-02,0.2,5,1.0,1,0,1.7429,22.95,75.68,2.07,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,53,6,8,29,113,201,2024-05-08,0.7,0,1.0,0,0,0.8369,21.63,64.52,1.75,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.1,0,0.0,0,0.2,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,53,6,20,50,59,567,2024-05-13,1.2,3,0.781,0,1,1.0678,22.63,65.9,1.81,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.3,0,0.0,0,0.1,0,0.0,0,0.1,0,0.0,1,0.2,1,0.0,1,0.0,0,0.1,0,0.0,0,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0
0,57,6,4,28,180,118,2024-05-21,1.2,3,1.0,0,0,1.2099,23.72,74.9,1.33,0.1,1,0.0,1,0.0,1,0.1,1,0.0,1,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.2,0,0.2,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
0,59,6,4,28,167,843,2024-05-13,0.5,0,1.0,0,0,0.863,22.02,66.09,2.11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1,0,0.0,0,0.0,0
